,Frobenius,Correlation,site,seed,algorithm
2,4.246658154650365,0.8177787321626973,Average,3,MICE
3,4.411944202282298,0.7998038624681119,Average,4,MICE
4,4.389201657871669,0.8036531149173584,Average,5,MICE
5,4.679132277399621,0.772073536835286,Average,6,MICE
6,4.31005554017382,0.8112123812785078,Average,7,MICE
7,4.63332261424477,0.7785008041504534,Average,8,MICE
8,4.397457060140987,0.8042920803929032,Average,9,MICE
9,4.720764276640962,0.7697088295327043,Average,10,MICE
0,3.637297779378851,0.2135004710093359,CNSR 1,1,Average
1,5.0004538108189545,0.1211362438590515,CNSR 2,1,Average
2,3.4521728820025457,-0.1189759777919754,CNSR 3,1,Average
3,5.752749957818744,0.1183263243658471,TOP1,1,Average
4,4.705861675426305,0.1008380907296944,TOP2,1,Average
5,3.637297779378851,0.2135004710093359,CNSR 1,2,Average
6,5.0004538108189545,0.1211362438590515,CNSR 2,2,Average
7,3.4521728820025457,-0.1189759777919754,CNSR 3,2,Average
8,5.752749957818744,0.1183263243658471,TOP1,2,Average
9,4.705861675426305,0.1008380907296944,TOP2,2,Average
10,3.637297779378851,0.2135004710093359,CNSR 1,3,Average
11,5.0004538108189545,0.1211362438590515,CNSR 2,3,Average
12,3.4521728820025457,-0.1189759777919754,CNSR 3,3,Average
13,5.752749957818744,0.1183263243658471,TOP1,3,Average
14,4.705861675426305,0.1008380907296944,TOP2,3,Average
15,3.637297779378851,0.2135004710093359,CNSR 1,4,Average
16,5.0004538108189545,0.1211362438590515,CNSR 2,4,Average
17,3.4521728820025457,-0.1189759777919754,CNSR 3,4,Average
18,5.752749957818744,0.1183263243658471,TOP1,4,Average
19,4.705861675426305,0.1008380907296944,TOP2,4,Average
20,3.637297779378851,0.2135004710093359,CNSR 1,5,Average
21,5.0004538108189545,0.1211362438590515,CNSR 2,5,Average
22,3.4521728820025457,-0.1189759777919754,CNSR 3,5,Average
23,5.752749957818744,0.1183263243658471,TOP1,5,Average
24,4.705861675426305,0.1008380907296944,TOP2,5,Average
25,3.637297779378851,0.2135004710093359,CNSR 1,6,Average
26,5.0004538108189545,0.1211362438590515,CNSR 2,6,Average
27,3.4521728820025457,-0.1189759777919754,CNSR 3,6,Average
28,5.752749957818744,0.1183263243658471,TOP1,6,Average
29,4.705861675426305,0.1008380907296944,TOP2,6,Average
30,3.637297779378851,0.2135004710093359,CNSR 1,7,Average
31,5.0004538108189545,0.1211362438590515,CNSR 2,7,Average
32,3.4521728820025457,-0.1189759777919754,CNSR 3,7,Average
33,5.752749957818744,0.1183263243658471,TOP1,7,Average
34,4.705861675426305,0.1008380907296944,TOP2,7,Average
35,3.637297779378851,0.2135004710093359,CNSR 1,8,Average
36,5.0004538108189545,0.1211362438590515,CNSR 2,8,Average
37,3.4521728820025457,-0.1189759777919754,CNSR 3,8,Average
38,5.752749957818744,0.1183263243658471,TOP1,8,Average
39,4.705861675426305,0.1008380907296944,TOP2,8,Average
40,3.637297779378851,0.2135004710093359,CNSR 1,9,Average
41,5.0004538108189545,0.1211362438590515,CNSR 2,9,Average
42,3.4521728820025457,-0.1189759777919754,CNSR 3,9,Average
43,5.752749957818744,0.1183263243658471,TOP1,9,Average
44,4.705861675426305,0.1008380907296944,TOP2,9,Average
45,3.637297779378851,0.2135004710093359,CNSR 1,10,Average
46,5.0004538108189545,0.1211362438590515,CNSR 2,10,Average
47,3.4521728820025457,-0.1189759777919754,CNSR 3,10,Average
48,5.752749957818744,0.1183263243658471,TOP1,10,Average
49,4.705861675426305,0.1008380907296944,TOP2,10,Average
0,2.290190232385448,0.7762674817599619,CNSR 1,1,Extra Trees
