,variable,1-JS Divergence,1-NMSE,site,seed,algorithm
232,WAIS3_DigitSpanBackwards_RawScore,3.4442115826038844e-11,-0.0016184760340856,Average,4,Average
233,WAIS3_BACS_SymbolCoding_RawRelative,0.0319511195520396,-0.0016489436345608,Average,4,Average
234,CVLT_BACS_Verbal_Total_RawScore,9.204514928029539e-11,-0.0027829830974259,Average,4,Average
235,DKEFS_ColorWordInterference_Inhibition_RawScore,0.0076895145580767,-0.001779604890328,Average,4,Average
236,HVLT_Total_RawScore,5.742262221275496e-11,-0.0034852111344891,Average,4,Average
237,VerbalFluency_Phonemic_RawScore,1.2257150849848128e-10,-0.002830259109519,Average,4,Average
238,WASI_WAIS3_Vocabulary_RawScore,6.743050562363351e-11,-0.002551765981968,Average,4,Average
239,CANTAB_DMS_TotalCorrectAllDelays_RawScore,0.1775732887453259,-0.0155223930819481,Average,4,Average
240,WMS_ImmediateStoryRecall_A_RawScore,4.59456916956924e-11,-0.0014964430595409,Average,4,Average
241,DKEFS_ColorWordInterference_Switching_RawScore,0.056446574050625,-0.0011768389088409,Average,4,Average
242,CANTAB_PAL_TotalErrors6_RawScore,1.4528633851540462e-10,-0.0405673714432028,Average,4,Average
243,CANTAB_SOCP_5MoveITime_RawScore,0.0917582966153276,-0.0165482545201169,Average,4,Average
244,WASI_WAIS3_Similarities_RawScore,0.0644994156389594,-0.0020522303866292,Average,4,Average
245,CANTAB_RVP_ASim357_RawScore,0.0833006047152024,-0.0049610670808355,Average,4,Average
246,CANTAB_RVP_Latency357246468_RawScore,0.0773781383385039,-0.0375347316311032,Average,4,Average
247,DigitSymbolCoding,0.0242180385331385,-0.0029073819924305,Average,4,Average
248,CVLT_HVLT_Total_RecognitionHits_RawRelative,3.560529648893862e-11,-0.0011819891840751,Average,4,Average
249,CANTAB_IED_ErrorsIDS_RawScore,0.0255598663944293,-0.0030399931593703,Average,4,Average
250,CaliforniaVLT_FreeRecall_RawScore,3.445210783326047e-11,-0.0045233561573778,Average,4,Average
251,WAIS3_DigitSpan_RawScore,4.564315592148205e-11,-0.0010515359419547,Average,4,Average
252,CANTAB_SOCP_AMoveISime_RawScore,0.0554261279573227,-0.0115069571339445,Average,4,Average
253,WMS_TotalRecall_RawScore,5.831912730513977e-11,-0.0020308605163805,Average,4,Average
