,variable,coverage,width,num_samples,overlap,noise (%),missingness,algorithm
305,Variable_26,0.5142857142857142,0.8317803143146694,100,4,30.0,noise,Extra Trees
306,Variable_27,0.4583333333333333,0.8992683780009286,100,4,30.0,noise,Extra Trees
307,Variable_28,0.4230769230769231,1.002931516917252,100,4,30.0,noise,Extra Trees
308,Variable_29,0.5172413793103449,0.9701816206038668,100,4,30.0,noise,Extra Trees
309,Variable_30,0.2647058823529412,0.8316870866370659,100,4,30.0,noise,Extra Trees
310,Variable_31,0.5517241379310345,0.7531891150156299,100,4,30.0,noise,Extra Trees
311,Variable_32,0.4444444444444444,0.9001619730542829,100,4,30.0,noise,Extra Trees
312,Variable_33,0.5625,0.8851409295460934,100,4,30.0,noise,Extra Trees
313,Variable_34,0.5,0.8687357428247318,100,4,30.0,noise,Extra Trees
314,Variable_35,0.40625,0.8071088451046478,100,4,30.0,noise,Extra Trees
315,Variable_36,0.5,0.8149418754901335,100,4,30.0,noise,Extra Trees
316,Variable_37,0.4666666666666667,0.8086195262014345,100,4,30.0,noise,Extra Trees
317,Variable_38,0.4838709677419355,0.7603392904903897,100,4,30.0,noise,Extra Trees
318,Variable_39,0.3043478260869565,0.8915769213512317,100,4,30.0,noise,Extra Trees
319,Variable_40,0.2857142857142857,0.8907057613060055,100,4,30.0,noise,Extra Trees
320,Variable_1,0.54,1.6685254428205007,100,4,30.0,blocks,Extra Trees
321,Variable_2,0.52,1.016467034126923,100,4,30.0,blocks,Extra Trees
322,Variable_3,0.64,1.6823077027201885,100,4,30.0,blocks,Extra Trees
323,Variable_4,0.48,1.263200969725169,100,4,30.0,blocks,Extra Trees
324,Variable_5,0.34,1.3028103527901722,100,4,30.0,blocks,Extra Trees
325,Variable_6,0.0,1.3511115065335568,100,4,30.0,blocks,Extra Trees
326,Variable_7,0.38,1.1923468515355815,100,4,30.0,blocks,Extra Trees
327,Variable_8,,,100,4,30.0,blocks,Extra Trees
328,Variable_9,0.52,1.0380981664274518,100,4,30.0,blocks,Extra Trees
329,Variable_10,0.44,1.1390251962377818,100,4,30.0,blocks,Extra Trees
330,Variable_11,0.34,1.0506879592319518,100,4,30.0,blocks,Extra Trees
331,Variable_12,0.44,1.2717664807927855,100,4,30.0,blocks,Extra Trees
332,Variable_13,0.38,1.151540937189775,100,4,30.0,blocks,Extra Trees
333,Variable_14,,,100,4,30.0,blocks,Extra Trees
334,Variable_15,0.06,0.9778790697099912,100,4,30.0,blocks,Extra Trees
335,Variable_16,0.5,0.9539970248638108,100,4,30.0,blocks,Extra Trees
336,Variable_17,0.32,1.1273631982545336,100,4,30.0,blocks,Extra Trees
337,Variable_18,0.28,1.2313349429212104,100,4,30.0,blocks,Extra Trees
338,Variable_19,0.18,1.0633238983963282,100,4,30.0,blocks,Extra Trees
339,Variable_20,0.42,1.0299307805444462,100,4,30.0,blocks,Extra Trees
340,Variable_21,0.12,0.984501000363352,100,4,30.0,blocks,Extra Trees
341,Variable_22,0.26,1.1072848142954144,100,4,30.0,blocks,Extra Trees
342,Variable_23,0.42,0.992682439788208,100,4,30.0,blocks,Extra Trees
343,Variable_24,0.62,1.3538230603156196,100,4,30.0,blocks,Extra Trees
344,Variable_25,,,100,4,30.0,blocks,Extra Trees
345,Variable_26,0.44,1.1475064217442423,100,4,30.0,blocks,Extra Trees
346,Variable_27,0.54,1.0906616032712393,100,4,30.0,blocks,Extra Trees
347,Variable_28,0.52,1.198295917004749,100,4,30.0,blocks,Extra Trees
348,Variable_29,0.38,1.091878447036516,100,4,30.0,blocks,Extra Trees
349,Variable_30,0.28,1.298481481680215,100,4,30.0,blocks,Extra Trees
350,Variable_31,0.3,1.026568480228407,100,4,30.0,blocks,Extra Trees
351,Variable_32,0.26,1.273664430507618,100,4,30.0,blocks,Extra Trees
352,Variable_33,0.56,1.0000298732276094,100,4,30.0,blocks,Extra Trees
353,Variable_34,0.54,1.200799654662818,100,4,30.0,blocks,Extra Trees
354,Variable_35,,,100,4,30.0,blocks,Extra Trees
355,Variable_36,0.1,1.3991059335277156,100,4,30.0,blocks,Extra Trees
356,Variable_37,0.24,1.091409400198002,100,4,30.0,blocks,Extra Trees
357,Variable_38,0.5,1.1139991294923668,100,4,30.0,blocks,Extra Trees
358,Variable_39,0.02,1.2611351373786122,100,4,30.0,blocks,Extra Trees
359,Variable_40,0.54,1.184170043967694,100,4,30.0,blocks,Extra Trees
480,Variable_1,0.390625,1.232968612952991,100,4,30.0,noise-blocks-dependence,Extra Trees
481,Variable_2,0.1774193548387097,1.1425044523528798,100,4,30.0,noise-blocks-dependence,Extra Trees
482,Variable_3,0.3846153846153846,1.152988307243182,100,4,30.0,noise-blocks-dependence,Extra Trees
483,Variable_4,0.5483870967741935,1.3393795069192282,100,4,30.0,noise-blocks-dependence,Extra Trees
484,Variable_5,0.5555555555555556,1.42264646138937,100,4,30.0,noise-blocks-dependence,Extra Trees
485,Variable_6,0.4411764705882353,0.7576929508396549,100,4,30.0,noise-blocks-dependence,Extra Trees
486,Variable_7,0.2857142857142857,1.2308503721382675,100,4,30.0,noise-blocks-dependence,Extra Trees
487,Variable_8,0.2741935483870967,1.268078739398495,100,4,30.0,noise-blocks-dependence,Extra Trees
488,Variable_9,0.3283582089552239,1.0339600208958035,100,4,30.0,noise-blocks-dependence,Extra Trees
489,Variable_10,0.2903225806451613,1.277526825468473,100,4,30.0,noise-blocks-dependence,Extra Trees
490,Variable_11,0.4666666666666667,1.1092409300556658,100,4,30.0,noise-blocks-dependence,Extra Trees
491,Variable_12,0.515625,1.1118975113661267,100,4,30.0,noise-blocks-dependence,Extra Trees
492,Variable_13,0.4923076923076923,1.114922949101449,100,4,30.0,noise-blocks-dependence,Extra Trees
493,Variable_14,0.5714285714285714,1.3965069939709374,100,4,30.0,noise-blocks-dependence,Extra Trees
494,Variable_15,0.3846153846153846,1.2606219901508045,100,4,30.0,noise-blocks-dependence,Extra Trees
495,Variable_16,0.365079365079365,1.1759843504500145,100,4,30.0,noise-blocks-dependence,Extra Trees
496,Variable_17,0.5967741935483871,1.380628679699105,100,4,30.0,noise-blocks-dependence,Extra Trees
497,Variable_18,0.4242424242424242,1.021851553501417,100,4,30.0,noise-blocks-dependence,Extra Trees
498,Variable_19,0.4426229508196721,1.4674150282962488,100,4,30.0,noise-blocks-dependence,Extra Trees
499,Variable_20,0.5396825396825397,1.4048420892174396,100,4,30.0,noise-blocks-dependence,Extra Trees
500,Variable_21,0.2786885245901639,1.2557613248109336,100,4,30.0,noise-blocks-dependence,Extra Trees
501,Variable_22,0.1587301587301587,1.1969817208828146,100,4,30.0,noise-blocks-dependence,Extra Trees
502,Variable_23,0.34375,1.002504729992587,100,4,30.0,noise-blocks-dependence,Extra Trees
503,Variable_24,0.4769230769230769,1.419894469762729,100,4,30.0,noise-blocks-dependence,Extra Trees
504,Variable_25,0.4776119402985074,1.1695772998552902,100,4,30.0,noise-blocks-dependence,Extra Trees
505,Variable_26,0.5070422535211268,1.164298945384629,100,4,30.0,noise-blocks-dependence,Extra Trees
506,Variable_27,0.365079365079365,1.0244071625044682,100,4,30.0,noise-blocks-dependence,Extra Trees
507,Variable_28,0.3235294117647059,0.8526665949068426,100,4,30.0,noise-blocks-dependence,Extra Trees
508,Variable_29,0.4603174603174603,1.2779324074338614,100,4,30.0,noise-blocks-dependence,Extra Trees
509,Variable_30,0.3787878787878788,1.1995991205089045,100,4,30.0,noise-blocks-dependence,Extra Trees
510,Variable_31,0.5161290322580645,1.3096891840135427,100,4,30.0,noise-blocks-dependence,Extra Trees
511,Variable_32,0.2592592592592592,0.8835847960638539,100,4,30.0,noise-blocks-dependence,Extra Trees
512,Variable_33,0.5483870967741935,1.406629556692388,100,4,30.0,noise-blocks-dependence,Extra Trees
513,Variable_34,0.359375,1.096817836072803,100,4,30.0,noise-blocks-dependence,Extra Trees
514,Variable_35,0.375,1.3340715133460526,100,4,30.0,noise-blocks-dependence,Extra Trees
515,Variable_36,0.2537313432835821,1.0976925952430985,100,4,30.0,noise-blocks-dependence,Extra Trees
516,Variable_37,0.5625,1.3745149418585676,100,4,30.0,noise-blocks-dependence,Extra Trees
517,Variable_38,0.4925373134328358,1.080599222186788,100,4,30.0,noise-blocks-dependence,Extra Trees
518,Variable_39,0.1833333333333333,1.427411302614858,100,4,30.0,noise-blocks-dependence,Extra Trees
519,Variable_40,0.4393939393939394,1.1778810889543898,100,4,30.0,noise-blocks-dependence,Extra Trees
520,Variable_1,0.2692307692307692,0.8316776662855049,100,4,50.0,noise,Extra Trees
521,Variable_2,0.3043478260869565,0.8699707613084853,100,4,50.0,noise,Extra Trees
522,Variable_3,0.36,0.8718696335152856,100,4,50.0,noise,Extra Trees
523,Variable_4,0.5641025641025641,0.8464478099113669,100,4,50.0,noise,Extra Trees
524,Variable_5,0.4761904761904761,0.898521512539938,100,4,50.0,noise,Extra Trees
525,Variable_6,0.3673469387755102,0.5660143433499325,100,4,50.0,noise,Extra Trees
526,Variable_7,0.2727272727272727,0.8701020684687908,100,4,50.0,noise,Extra Trees
527,Variable_8,0.4259259259259259,0.7851776417674663,100,4,50.0,noise,Extra Trees
528,Variable_9,0.2941176470588235,0.8698385116233486,100,4,50.0,noise,Extra Trees
529,Variable_10,0.3478260869565217,0.8913489690061271,100,4,50.0,noise,Extra Trees
530,Variable_11,0.3636363636363636,0.9401768293609716,100,4,50.0,noise,Extra Trees
531,Variable_12,0.6170212765957447,0.921886282744232,100,4,50.0,noise,Extra Trees
532,Variable_13,0.3902439024390244,0.8672155515327814,100,4,50.0,noise,Extra Trees
533,Variable_14,0.2941176470588235,0.8003405347631278,100,4,50.0,noise,Extra Trees
534,Variable_15,0.4651162790697674,0.8458754043796496,100,4,50.0,noise,Extra Trees
535,Variable_16,0.4545454545454545,0.828058439685697,100,4,50.0,noise,Extra Trees
536,Variable_17,0.2439024390243902,0.8268463185100285,100,4,50.0,noise,Extra Trees
537,Variable_18,0.2857142857142857,0.975672796466328,100,4,50.0,noise,Extra Trees
538,Variable_19,0.38,0.7452633058777955,100,4,50.0,noise,Extra Trees
539,Variable_20,0.4545454545454545,0.8865574604635115,100,4,50.0,noise,Extra Trees
540,Variable_21,0.42,0.8584395747467748,100,4,50.0,noise,Extra Trees
541,Variable_22,0.38,0.8916033853838796,100,4,50.0,noise,Extra Trees
542,Variable_23,0.4782608695652174,0.9030586511019838,100,4,50.0,noise,Extra Trees
543,Variable_24,0.425531914893617,0.7962724014426783,100,4,50.0,noise,Extra Trees
544,Variable_25,0.4444444444444444,0.8422065195559134,100,4,50.0,noise,Extra Trees
545,Variable_26,0.3333333333333333,0.869828950911452,100,4,50.0,noise,Extra Trees
546,Variable_27,0.4047619047619047,0.83014716762137,100,4,50.0,noise,Extra Trees
547,Variable_28,0.3529411764705882,0.9276583662076342,100,4,50.0,noise,Extra Trees
548,Variable_29,0.3877551020408163,0.8883173811125317,100,4,50.0,noise,Extra Trees
549,Variable_30,0.4,0.8843285782259721,100,4,50.0,noise,Extra Trees
550,Variable_31,0.4310344827586206,0.8266430101016087,100,4,50.0,noise,Extra Trees
551,Variable_32,0.4074074074074074,0.94007370551075,100,4,50.0,noise,Extra Trees
552,Variable_33,0.5,0.7657405395033762,100,4,50.0,noise,Extra Trees
553,Variable_34,0.5,0.9743922809716606,100,4,50.0,noise,Extra Trees
554,Variable_35,0.5283018867924528,0.9731389316160204,100,4,50.0,noise,Extra Trees
555,Variable_36,0.4909090909090909,0.8737111945365167,100,4,50.0,noise,Extra Trees
556,Variable_37,0.4117647058823529,0.8950141704878968,100,4,50.0,noise,Extra Trees
557,Variable_38,0.6222222222222222,0.994023881324594,100,4,50.0,noise,Extra Trees
558,Variable_39,0.3888888888888889,0.8029548634727788,100,4,50.0,noise,Extra Trees
559,Variable_40,0.2711864406779661,0.7877835980822039,100,4,50.0,noise,Extra Trees
560,Variable_1,,,100,4,50.0,blocks,Extra Trees
561,Variable_2,0.38,1.1593187482925986,100,4,50.0,blocks,Extra Trees
562,Variable_3,0.26,0.9438686737496236,100,4,50.0,blocks,Extra Trees
563,Variable_4,0.18,1.1594919796883412,100,4,50.0,blocks,Extra Trees
564,Variable_5,0.52,1.2446220187534724,100,4,50.0,blocks,Extra Trees
565,Variable_6,0.02,1.2517959784227009,100,4,50.0,blocks,Extra Trees
