,Frobenius,Correlation,site,seed,algorithm
6,1.6068935739390655,0.9558817710817276,Average,7,Hierarchical approach
7,1.674088295079638,0.9523273040677276,Average,8,Hierarchical approach
8,1.610277253354098,0.955663912622353,Average,9,Hierarchical approach
9,1.659230308574584,0.9528639006715492,Average,10,Hierarchical approach
0,1.6176671229798398,0.960852201501204,Average,1,MICE
1,1.569011154003774,0.9612859595384852,Average,2,MICE
2,1.5243832857213433,0.963214049192292,Average,3,MICE
3,1.612144333847738,0.958676941906323,Average,4,MICE
4,1.49642177886529,0.9654193015368496,Average,5,MICE
5,1.5153575395446484,0.965202412019349,Average,6,MICE
6,1.4944197002782431,0.9647729749071926,Average,7,MICE
7,1.5584204550697744,0.9616014048700442,Average,8,MICE
8,1.567397809804408,0.9616470274155668,Average,9,MICE
9,1.5014596613818378,0.96359503539167,Average,10,MICE
0,5.672952721455185,0.1668913138132285,CNSR 1,1,Average
1,4.66766350365413,0.1196409640370777,CNSR 2,1,Average
2,5.672952721455185,0.1668913138132285,CNSR 1,2,Average
3,4.66766350365413,0.1196409640370777,CNSR 2,2,Average
4,5.672952721455185,0.1668913138132285,CNSR 1,3,Average
5,4.66766350365413,0.1196409640370777,CNSR 2,3,Average
6,5.672952721455185,0.1668913138132285,CNSR 1,4,Average
7,4.66766350365413,0.1196409640370777,CNSR 2,4,Average
8,5.672952721455185,0.1668913138132285,CNSR 1,5,Average
9,4.66766350365413,0.1196409640370777,CNSR 2,5,Average
10,5.672952721455185,0.1668913138132285,CNSR 1,6,Average
11,4.66766350365413,0.1196409640370777,CNSR 2,6,Average
12,5.672952721455185,0.1668913138132285,CNSR 1,7,Average
13,4.66766350365413,0.1196409640370777,CNSR 2,7,Average
14,5.672952721455185,0.1668913138132285,CNSR 1,8,Average
15,4.66766350365413,0.1196409640370777,CNSR 2,8,Average
16,5.672952721455185,0.1668913138132285,CNSR 1,9,Average
17,4.66766350365413,0.1196409640370777,CNSR 2,9,Average
18,5.672952721455185,0.1668913138132285,CNSR 1,10,Average
19,4.66766350365413,0.1196409640370777,CNSR 2,10,Average
0,3.5155777378991617,0.9351136243212548,CNSR 1,1,Extra Trees
1,3.2944386202748746,0.9172200765551616,CNSR 2,1,Extra Trees
2,3.3265481215729977,0.9409907522257004,CNSR 1,2,Extra Trees
3,3.311489426040044,0.9110802067741652,CNSR 2,2,Extra Trees
4,3.4817646603253607,0.937316899090776,CNSR 1,3,Extra Trees
5,3.287964504467762,0.9150033604298556,CNSR 2,3,Extra Trees
6,3.49361881408667,0.9346981270364452,CNSR 1,4,Extra Trees
7,3.205227481305151,0.9178536246926374,CNSR 2,4,Extra Trees
8,3.50023720705536,0.9350900791002176,CNSR 1,5,Extra Trees
9,3.2953774813181624,0.9148599983290566,CNSR 2,5,Extra Trees
10,3.3930196022821573,0.9371443066829304,CNSR 1,6,Extra Trees
11,3.3066964122867653,0.916586684164918,CNSR 2,6,Extra Trees
12,3.357822052393128,0.9404783178685612,CNSR 1,7,Extra Trees
13,3.3405165729900963,0.9082515256637038,CNSR 2,7,Extra Trees
14,3.2340017654939457,0.9418971537741652,CNSR 1,8,Extra Trees
15,3.256636756169248,0.905106797594494,CNSR 2,8,Extra Trees
16,3.3032512933566647,0.9413916709343269,CNSR 1,9,Extra Trees
17,3.2352596770248354,0.9205445811326264,CNSR 2,9,Extra Trees
18,3.42573694658598,0.9363387344701164,CNSR 1,10,Extra Trees
19,3.295015562492852,0.922959746046388,CNSR 2,10,Extra Trees
0,4.629346703600965,0.6244596586916175,CNSR 1,1,AutoComplete
1,2.2210352951151764,0.860582251654447,CNSR 2,1,AutoComplete
2,3.832648637206722,0.7253306781831611,CNSR 1,2,AutoComplete
3,2.437685681843776,0.8263601210805911,CNSR 2,2,AutoComplete
4,3.7864095089368224,0.7407385595384212,CNSR 1,3,AutoComplete
5,2.321566840498226,0.8497089182771548,CNSR 2,3,AutoComplete
6,3.4266256938850943,0.7779015467704059,CNSR 1,4,AutoComplete
7,2.676277762297706,0.7954457947729038,CNSR 2,4,AutoComplete
8,3.3838692533080734,0.7878927753918424,CNSR 1,5,AutoComplete
9,2.3013375383327244,0.8548269173742012,CNSR 2,5,AutoComplete
10,3.110128113243536,0.8247888918889918,CNSR 1,6,AutoComplete
11,2.599815426055802,0.8035859043380211,CNSR 2,6,AutoComplete
12,4.228086163838798,0.6835871433747268,CNSR 1,7,AutoComplete
13,2.3014243593686885,0.8499324539857808,CNSR 2,7,AutoComplete
14,3.40516242130792,0.7888482228636404,CNSR 1,8,AutoComplete
15,2.429142172969608,0.8402563045515412,CNSR 2,8,AutoComplete
16,3.5220172869164927,0.7632507035171651,CNSR 1,9,AutoComplete
17,2.446780417634963,0.832886560957466,CNSR 2,9,AutoComplete
18,3.949538055664322,0.7147352312677879,CNSR 1,10,AutoComplete
19,2.396263002256485,0.8352740742457663,CNSR 2,10,AutoComplete
0,1.6685983902673234,0.9421934401948214,CNSR 1,1,Hierarchical approach
1,1.3069364590015309,0.9566493667800648,CNSR 2,1,Hierarchical approach
2,1.588921899213944,0.9490218770959858,CNSR 1,2,Hierarchical approach
3,1.37988374320024,0.950564491537342,CNSR 2,2,Hierarchical approach
4,1.5308357538954152,0.9516868735083608,CNSR 1,3,Hierarchical approach
5,1.4836886127103992,0.944477775527924,CNSR 2,3,Hierarchical approach
6,1.5270566263327725,0.952498143338656,CNSR 1,4,Hierarchical approach
7,1.2978894782320294,0.9557149987765952,CNSR 2,4,Hierarchical approach
8,1.5450633381356174,0.9509157970345682,CNSR 1,5,Hierarchical approach
9,1.5636624682820328,0.93556389925286,CNSR 2,5,Hierarchical approach
10,1.6443704799048848,0.9440961117097796,CNSR 1,6,Hierarchical approach
11,1.322563328744854,0.955108746657504,CNSR 2,6,Hierarchical approach
12,1.6776890771282973,0.9414746593803364,CNSR 1,7,Hierarchical approach
13,1.286087863983537,0.957016245296067,CNSR 2,7,Hierarchical approach
14,1.75848510417011,0.935607995372535,CNSR 1,8,Hierarchical approach
15,1.3377017521285353,0.9536008769461662,CNSR 2,8,Hierarchical approach
16,1.6318097276503756,0.9447892843368316,CNSR 1,9,Hierarchical approach
17,1.2120194595040668,0.962493989534612,CNSR 2,9,Hierarchical approach
18,1.688676925927851,0.940638817623358,CNSR 1,10,Hierarchical approach
19,1.3457694744297368,0.9518726654721982,CNSR 2,10,Hierarchical approach
0,1.5687312874842605,0.9526645231755302,CNSR 1,1,MICE
1,1.432590344388987,0.9543326525619702,CNSR 2,1,MICE
2,1.5156853826609713,0.9549680334354916,CNSR 1,2,MICE
3,1.4810514933517902,0.9497040795130304,CNSR 2,2,MICE
4,1.5652391894230109,0.9508998955970394,CNSR 1,3,MICE
5,1.3728179759996058,0.954827227023448,CNSR 2,3,MICE
6,1.552775217589658,0.9509316125329552,CNSR 1,4,MICE
7,1.470373868439294,0.9526620110801048,CNSR 2,4,MICE
8,1.5191813972961865,0.9551376567406856,CNSR 1,5,MICE
9,1.3964303847324613,0.9527891133104828,CNSR 2,5,MICE
10,1.5027453702871625,0.9550534057792232,CNSR 1,6,MICE
11,1.418002618624811,0.9572596988024142,CNSR 2,6,MICE
12,1.4511805703456693,0.9578998517692864,CNSR 1,7,MICE
13,1.4483257576339192,0.9492017242279543,CNSR 2,7,MICE
14,1.4880218972878614,0.9559108123013064,CNSR 1,8,MICE
15,1.4805723500953831,0.9477166603954617,CNSR 2,8,MICE
16,1.5201956572409947,0.953845087763692,CNSR 1,9,MICE
17,1.4089736540517506,0.954139075715698,CNSR 2,9,MICE
18,1.516321245490318,0.9532690261779028,CNSR 1,10,MICE
19,1.4120844864628572,0.9514009657692272,CNSR 2,10,MICE
