,variable,coverage,width,site,seed,algorithm
2,CaliforniaVLT_FreeRecall_RawScore,0.0059523809523809,0.7278149348808152,Average,10,Hierarchical approach
3,CaliforniaVLT_Total_RawScore,0.7599206349206349,1.6035011296508912,Average,10,Hierarchical approach
4,DKEFS_ColorWordInterference_Inhibition_RawScore,0.7872523686477175,2.15226659048112,Average,10,Hierarchical approach
5,DKEFS_ColorWordInterference_Switching_RawScore,0.7857769973661106,2.146229571285297,Average,10,Hierarchical approach
6,GroovedPegs_Dominant_RawScore,0.7915129151291513,2.0007097608279545,Average,10,Hierarchical approach
7,GroovedPegs_NDominant_RawScore,0.7700831024930748,2.002049886797579,Average,10,Hierarchical approach
8,HVLT_Total_RawScore,0.7316341829085458,1.8609829275925216,Average,10,Hierarchical approach
9,MCCB_Mazes_RawScore,0.6456456456456456,2.157690114267431,Average,10,Hierarchical approach
10,ReyOCF_Copy_RawScore,0.2698744769874477,2.1013993813878287,Average,10,Hierarchical approach
11,Rey_BVMT_LongTerm_RawScore,0.7848990342405618,2.0927870708875345,Average,10,Hierarchical approach
12,Trailmaking_test_part_A,0.7484939759036144,2.3650145419250554,Average,10,Hierarchical approach
13,UPSAB_Total_RawScore,0.7166212534059946,2.541215163492192,Average,10,Hierarchical approach
14,VF_MCCB_SemnaticVerbalFluency_RawRelative,0.7799657534246576,1.444021055685591,Average,10,Hierarchical approach
15,VerbalFluency_Phonemic_RawScore,0.7793240556660039,2.2642670802882905,Average,10,Hierarchical approach
16,WAIS3_BACS_SymbolCoding_RawRelative,0.7865072587532024,2.231849098865652,Average,10,Hierarchical approach
17,WAIS3_DigitSpanBackwards_RawScore,0.3951048951048951,1.413119039116662,Average,10,Hierarchical approach
18,WAIS3_DigitSpanForward_RawScore,0.3496503496503496,1.3467804660519909,Average,10,Hierarchical approach
19,WAIS3_DigitSpan_RawScore,0.6311188811188811,1.0067651965210906,Average,10,Hierarchical approach
20,WAIS3_MCCB_LetterNumberSeeq_RawScore,0.7106643356643356,1.709773466489959,Average,10,Hierarchical approach
21,WASI_BlockDesign_RawScore,0.7715565509518477,2.049662393693727,Average,10,Hierarchical approach
22,WASI_MatrixReasoning_RawScore,0.7414675767918089,2.1381101528282787,Average,10,Hierarchical approach
23,WASI_Similarities_RawScore,0.7536394176931691,2.2047916178794087,Average,10,Hierarchical approach
24,WASI_Vocabulary_RawScore,0.7792985457656116,2.1679240637752164,Average,10,Hierarchical approach
25,WCTS_FailureToMaintain_RawScore,0.1575342465753424,1.743346602840896,Average,10,Hierarchical approach
26,WCTS_NumberCategories_RawScore,0.2945205479452055,1.3017589278775696,Average,10,Hierarchical approach
27,WCTS_PerservativeError_RawScore,0.2054794520547945,0.3940383368417499,Average,10,Hierarchical approach
28,WCTS_PerservativeResponses_RawScore,0.2089041095890411,0.3884801641190252,Average,10,Hierarchical approach
29,WMS_FreeRecall_RawScore,0.6752475247524753,1.0525501424380463,Average,10,Hierarchical approach
30,WMS_ImmediateStoryRecall_A_RawScore,0.0690607734806629,0.2275264381649429,Average,10,Hierarchical approach
31,WMS_ImmediateStoryRecall_B_RawScore,0.0534069981583793,0.2077852279272259,Average,10,Hierarchical approach
32,WMS_ImmediateThematicRecall_A_RawScore,0.4300184162062615,1.164469502274067,Average,10,Hierarchical approach
33,WMS_ImmediateThematicRecall_B_RawScore,0.6086556169429097,2.103128354515925,Average,10,Hierarchical approach
34,WMS_TotalRecall_RawScore,0.0994475138121546,0.1998875012558236,Average,10,Hierarchical approach
0,CVLT_HVLT_Total_Delayedrecall_RawRelative,0.5345858240819812,1.5641443885638984,Average,10,MICE
1,CVLT_HVLT_Total_RecognitionHits_RawRelative,0.169284467713787,1.5878880205762456,Average,10,MICE
2,CaliforniaVLT_FreeRecall_RawScore,0.0059523809523809,0.6029134507761844,Average,10,MICE
3,CaliforniaVLT_Total_RawScore,0.7658730158730159,1.6808238464014322,Average,10,MICE
