,Age,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
var_10,0.011393689239180957,-2.405116587761598,-2.405116587761598,-0.197891872656889,-4.457224975105848,-3.7492394383736545,-7.782548147555159,-3.7492394383736545,-4.040433465126657,-8.882190912042326,21.522302729230226,-9.887449362207583,0.12427878816580794,10.488398894315871,0.3408872315203586,28.289394391000666,-6.20578333972175,-4.596078681651673,-6.73842714366331,-1.3710267707830093,-1.5008433826353,-4.185753710084056,-5.1941885072528375,-2.661169757889741,20.842161903331625,-0.11374416925668658,-0.5443918361913148,-2.3682676227976263,-0.604393833108893,-3.7895018458686844,-1.3766768475327815,6.8092530107503135,5.783375447202554,-5.041321673163365,-7.7696351153150145,-3.8077758149506975,-8.000141801673932,-8.053411644535233,-5.2705682291075515,-8.073149472250591,-8.053411644535233,-2.20085423523626,-6.029280823213407,-2.20085423523626,-0.8178403133584102,-17.585683597588577,-1.7564798826277122,-1.7728920750853527,-1.5707913945271978,-1.8088460981789316,-12.847036514922275
var_11,2.9238215319750833,0.8222779693469604,0.8222779693469604,0.08176848642616599,2.1116469138647775,2.025386151471887,3.6723001871157503,2.025386151471887,1.9171184553644607,4.487906531230442,-9.887449362207583,4.77649342705943,-0.08667671794598174,-4.798256637901555,-0.16250457718656122,-12.811696672012834,2.884060748583332,2.284944873625178,3.249280495411207,0.6120191412793955,0.6854540237016821,1.8785319657611645,2.3408093938077825,0.7239801545272727,-9.270534230532448,0.02289931449110111,0.18981705513310956,1.0090147241634644,0.19007183394577287,1.580444272691995,0.5546346659918193,-2.3766280621509623,-1.6120712765592484,2.4300226451689495,3.744015880848926,1.7816983990377104,3.535569949620773,2.8880490296220755,2.218000226988998,3.459959141981624,2.8880490296220755,1.0006355691748932,2.7178186357961596,1.0006355691748932,0.3176730304262978,7.551752585801065,0.81525519788291,0.7939243387525077,0.6966648536731409,0.8231287697696283,6.0632627332324605
var_12,-1.4469483693355936,-0.5617005433867261,-0.5617005433867261,-0.01040453424063537,-1.3589409844265952,-2.0532277465918165,-3.022444979060858,-2.0532277465918165,-2.046663102557245,0.29985298048649767,0.12427878816580794,-0.08667671794598174,2.0484963050293543,0.4615966338591706,0.519501644343193,3.0569806409028835,-0.2665404377914384,-0.5037190896000163,-0.9666069223368163,-0.24874123596202805,-0.2105781162747414,-0.6912882307034813,-0.7603392380716012,-0.3976710249368205,2.3071186632224716,-0.24131742875170478,0.008383761869015892,-0.47533091321960114,-0.1903548265195679,-1.1053715581348804,-0.6194690341147122,-0.41441470517696577,-0.6157055572718327,0.21302560021222686,0.5405415648153412,-1.437497320268852,-2.6546551658911226,-0.8400222444104595,-0.7246066151843383,-2.0100516929765715,-0.8400222444104595,-0.9642004019160549,-2.673214443700161,-0.9642004019160549,-0.107539082198689,-1.0683972860220983,-0.1444299271076881,-0.22100123779397632,-0.09044377206253157,-0.17781980164733596,-1.3129397158228695
var_13,-1.1759384307254903,-1.3469602772188267,-1.3469602772188267,-0.11030484541038499,-2.691150290882237,-4.298075031928479,-6.608693486590038,-4.298075031928479,-4.615039910600252,-7.072457795004418,10.488398894315871,-4.798256637901555,0.4615966338591706,13.254296420487947,0.47851430083567653,17.2290655332799,-7.446805837771936,-3.5422970388190937,-4.115792493528907,-1.1251406360325567,-1.0818572395233317,-2.603278457021842,-4.079152599192352,0.22319194371283707,16.105250329236206,0.00473392353341852,-0.3511572137367463,-1.2055705807958015,-0.4231194668742107,-1.921660667380103,-0.6913566494795245,3.3763455390623816,2.9949387390790685,-2.7139027409767604,-3.8153802565764794,-2.7053016462583037,-5.692057420241265,-3.13551583248211,-2.326762809114866,-4.5604946090114575,-3.13551583248211,-1.6838230746919984,-5.757536740690305,-1.6838230746919984,-0.5792316050061885,-8.878581121349653,-1.3451370512996834,-1.0586321001237797,-1.1384126896804654,-1.2690851632818352,-9.199750609279441
var_14,-1.2005378472175907,-0.8776094529788753,-0.8776094529788753,-0.020118540739545922,-1.8242119688679839,-2.061908580593414,-3.3892118863049205,-2.061908580593414,-2.066431286940505,0.9566893878642097,0.3408872315203586,-0.16250457718656122,0.519501644343193,0.47851430083567653,1.8495802714274323,1.502806514104567,-0.2696991297632814,-1.1061716464186198,-0.41961422656295116,-0.24056818886889686,-0.21766535335360238,-0.9081998587833091,-0.8701254886145059,-0.5140571817562984,5.7357211817888265,-0.08734381973287668,-0.03219788619081768,-0.39021427069137427,-0.11350396104107092,-0.8105702428606345,-0.3527053577077423,0.851065046082159,0.7467570281124412,-1.0786516176488372,-0.6622523914605134,-1.5595719996469044,-3.3187745116584084,-1.8607550460686795,-1.3656197469698328,-2.9579327864915657,-1.8607550460686795,-1.0306998142086181,-2.7928211220788426,-1.0306998142086181,-0.014798514647228856,-1.0615435749323832,-0.2869183514418009,-0.1775157016458084,-0.1763925182230785,-0.2666292272192426,-1.9654205177725608
var_15,7.408701958775202,-7.025039521801724,-7.025039521801724,-0.45973378819407895,-11.770933345786199,-11.879299039005074,-22.551834518461384,-11.879299039005074,-13.697673975781763,-13.591102168932787,28.289394391000666,-12.811696672012834,3.0569806409028835,17.2290655332799,1.502806514104567,94.70910706582605,-10.003619945851055,-12.80574592204177,-21.344067565944883,-3.01834735721667,-3.4398006743895104,-10.846542408636815,-11.470733670528086,-7.4905324235559725,59.8877508571692,-0.9665575170452657,-1.4193797238496615,-6.366108078939261,-2.3999606074622273,-11.391553354233059,-4.9148519460718845,16.34452048192771,16.085498346576035,-10.348469364509018,-13.72545759078815,-10.1937637289721,-22.782461040684456,-23.455840275033147,-14.62080736529555,-21.76792351969513,-23.455840275033147,-6.132764316622582,-17.982115242351437,-6.132764316622582,-2.302924677944345,-38.823287214046694,-3.444791523403469,-3.6346047769678633,-3.0847659423279707,-3.5324745640978596,-24.577086034855352
var_16,1.682518043303924,0.6658938912510357,0.6658938912510357,0.06177048816812512,1.6016001112915004,2.6980397398200147,4.005283984409868,2.6980397398200147,2.821086162345179,4.330787539793535,-6.20578333972175,2.884060748583332,-0.2665404377914384,-7.446805837771936,-0.2696991297632814,-10.003619945851055,4.430418393880146,2.167159701802842,2.472605694564282,0.6478213997642239,0.6439404045417891,1.5205233604268718,2.4241654774461727,-0.2699474973200973,-9.485061704297681,0.0047954844302784995,0.2066512659429124,0.7325497887387779,0.258055883766145,1.2016839340584593,0.4518356898948583,-1.979302412032749,-1.511180019222171,1.7466088128738742,2.5678013896602563,1.718052472910476,3.349770751863425,1.616956077630236,1.3213193104578878,2.5938599477925317,1.616956077630236,1.052371404431334,3.4754839279183902,1.052371404431334,0.3317173245312439,4.978735157933342,0.8121533030761485,0.632831339109707,0.6724911749873944,0.7779810204923687,5.7267163286890375
var_17,4.112660013662414,1.1945588520400279,1.1945588520400279,0.09074134025353353,3.0292902355028923,3.6067161186848296,5.965329802743169,3.6067161186848296,3.69053580444918,2.7281455475885563,-4.596078681651673,2.284944873625178,-0.5037190896000163,-3.5422970388190937,-1.1061716464186198,-12.80574592204177,2.167159701802842,5.690414279646535,3.372353941420911,0.6292162941208466,0.7717129338274694,1.9618291245268913,2.5765214553760805,0.5837901816158294,-24.564188615744797,0.33559718367766483,0.2504197074039816,1.243773769143797,0.5296990098331438,2.1857890499194848,0.9166632404837755,-2.9813292142930767,-2.3483538406516056,3.6722316680534113,4.281622144932943,2.8436777260747332,5.7167744864374095,4.443851821893048,3.2995159312951063,5.2041809380569175,4.443851821893048,1.7324983253497812,4.695314771046871,1.7324983253497812,0.40692247742172133,6.978269839086789,0.7339270159996326,0.7322284875991395,0.7632077201668749,0.736638701691652,5.327645192440319
var_18,3.055832911844328,1.168830360200484,1.168830360200484,0.09544905762255801,2.9167522804395776,3.3692704769271953,5.605871150312691,3.3692704769271953,3.3963806491922273,3.867412947556219,-6.73842714366331,3.249280495411207,-0.9666069223368163,-4.115792493528907,-0.41961422656295116,-21.344067565944883,2.472605694564282,3.372353941420911,5.61241792567093,0.6890806664269434,0.8462946618286423,2.4570628316590266,2.715090495025771,0.9057692428497078,-14.257181977530923,0.17423540315106442,0.28637627432808144,1.4161260426320608,0.472659870250229,2.5347544022242707,1.070435588507875,-2.8220385294567674,-2.271647708969645,2.6444231014831803,3.537296393327187,2.516737654984143,5.458696174214177,4.313392413786108,3.286209578532413,5.110069011643806,4.313392413786108,1.5421404250144433,4.38262953617284,1.5421404250144433,0.47798789712556705,8.576101407417617,0.8374043001879619,0.8374455599871655,0.7477100811442736,0.8741805345436203,6.3626523198602065
var_19,-0.21117366885083794,1.024573035506073,1.024573035506073,0.02253896879442738,1.807574739670811,1.5479389507134704,3.214416389720116,1.5479389507134704,1.8121497947607705,-0.41006598507159175,-1.3710267707830093,0.6120191412793955,-0.24874123596202805,-1.1251406360325567,-0.24056818886889686,-3.01834735721667,0.6478213997642239,0.6292162941208466,0.6890806664269434,1.4670294245410287,0.7277395459429806,1.6815422091181482,3.3631038661149124,1.0252941851370645,-3.3094576301420817,0.057348882515287636,0.17541871854537638,0.76822592537475,0.28018967476595175,1.3018832187889013,0.47096197034471754,-1.0035119790208062,-1.158696881323646,0.9175989882284187,0.9352230659341159,1.1109187948922568,3.0279404429369525,2.7875107794983296,1.732463474685363,3.120906602677073,2.7875107794983296,0.7097509154762326,2.25777061227551,0.7097509154762326,0.30736502347417866,1.953672730829419,0.3564505086071988,0.3149207746478877,0.16032374804381844,0.32529668753260393,2.4559362444258004
